"GEOID","population","households","acreage","pct.housing.transpo.typical.income.household","pct.housing.typical.income","housing.cost","pct.transpo.typical.income.household","household.co2","autos.typical.income.household","typical.income.household.mileage","pct.transit.commuters.typical.income.household","typical.income.household.transpo.cost","typical.income.household.auto.ownership.cost","typical.income.household.mileage.cost","typical.income.household.transit.trips","overall.employment.index","employment.mix.index","housing.units.per.acre","walkable.index","gross.household.density","median.monthly.homeowner.cost","median.monthly.rent","pct.single.fam","pct.owner.occupied","pct.renter.occupied","cbsa.total.employ","cbsa.total.workers","pct.working.age","zero.auto","one.auto","two.plus.auto","num.workers.home","low.wage.home","med.wage.home","hi.wage.home","total.employ","retail.jobs","office.jobs","industrial.jobs","service.jobs","entertainment.jobs","education.jobs","healthcare.jobs","public.admin.jobs","job.type.mix","low.wage.work","med.wage.work","hi.wage.work","jobs.per.household","pct.bg.employ.near.transit","jobs.within.45.drive","workers.within.45.drive"
"360830402006",493,207,87.95,0.55,0.33,1228,0.22,8.68,1.81,20920,0.04,13651,10338,3233,78,6.1,87,6.46,4.8,2.35,1756,1302,0.74,0.85,0.15,412385,395114,0.82862,62,44,153,229,66,105,58,121,3,0,103,9,0,0,6,0,0.411896,8,37,76,0.504167,0,55080.2993,85946.0076
"360010007004",1169,372,36.8,0.32,0.17,882,0.15,4.93,1.2,13243,0.12,9074,6845,2047,178,9.9,89,10.41,9.2,10.11,1297,882,0.09,0.18,0.82,412385,395114,0.62618,272,252,82,330,121,148,61,76,0,0,1,2,0,0,71,2,0.225069,31,36,9,0.199475,0,94711.5885,112612.3231
"360010133002",1246,468,49.23,0.44,0.25,1315,0.18,7.91,1.52,17254,0.07,11465,8698,2667,97,8.4,88,9.43,8.1,9.51,1671,813,0.34,0.59,0.41,412385,395114,0.77621,36,210,210,473,123,180,170,95,51,0,11,2,23,0,8,0,0.755937,34,42,19,0.238693,0,75831.0115,108075.9545
"360010132005",740,465,43.71,0.32,0.16,817,0.17,4.23,1.4,14745,0.07,10377,7990,2279,105,8.3,88,25.95,9.3,10.64,1333,686,0.11,0.2,0.8,412385,395114,0.81044,220,250,113,405,126,162,117,46,0,3,1,9,3,0,30,0,0,18,15,13,0.083942,0,72358.5116,103833.5528
"360010140024",1098,448,117.77,0.39,0.21,1080,0.18,7.84,1.47,17482,0.05,11176,8396,2702,76,9.6,88,5.18,7.7,3.8,1375,811,0.47,0.48,0.52,412385,395114,0.78293,27,229,180,401,104,159,138,84,14,0,41,27,2,0,0,0,0.795298,13,35,36,0.202899,0,89849.716,107383.4677
"360010144021",1809,741,422.86,0.44,0.22,1144,0.22,9.36,1.77,22627,0.01,13608,10098,3497,13,5.4,83,3.43,5.7,1.75,1347,875,0.57,0.57,0.43,412385,395114,0.74501,44,237,455,635,162,233,240,193,18,6,7,15,41,0,5,101,0.724914,84,53,56,0.312804,0,26089.4359,40966.0369
"360010140022",1547,685,197.06,0.47,0.27,1377,0.2,7.84,1.67,19962,0.03,12672,9548,3085,38,9.4,89,3.95,4.8,3.48,1424,1188,0.77,0.8,0.2,412385,395114,0.80666,67,222,460,1082,262,348,472,89,23,18,13,2,17,15,1,0,0.876685,36,37,16,0.12259,0,80289.3037,97042.8337
"360010025002",514,230,23.3,0.29,0.15,783,0.13,3.35,1.1,12123,0.16,8368,6254,1874,235,9.8,88,18.12,9.6,9.87,1138,783,0,0.22,0.78,412385,395114,0.68144,99,235,60,205,79,96,30,162,12,17,21,46,4,0,61,1,0.792565,64,74,24,0.507837,0,100040.7637,108827.8414
"360010026001",2281,661,75.76,0.35,0.19,966,0.16,6.69,1.34,15845,0.09,10224,7644,2449,128,9.9,88,8.93,8.3,8.72,1006,945,0.44,0.34,0.66,412385,395114,0.69855,73,323,159,690,194,260,236,648,17,29,35,9,85,0,471,2,0.497326,270,303,75,1.303823,0,84539.3761,103747.5472
"360010004031",994,466,135.41,0.44,0.26,1324,0.18,6.96,1.49,17263,0.09,11302,8496,2668,135,9.7,88,5.25,6.4,3.44,1539,963,0.63,0.63,0.37,412385,395114,0.86983,99,363,205,566,98,210,258,3056,478,68,24,129,77,2,222,2056,0.529571,720,1109,1227,4.723338,0,93230.5316,111693.1657
"360010005014",1298,556,36.01,0.36,0.21,1070,0.15,5.49,1.23,13996,0.15,9388,7000,2163,219,9.8,88,18.23,9,15.44,1847,745,0.16,0.29,0.71,412385,395114,0.87863,194,177,163,492,152,181,159,74,0,3,41,0,16,14,0,0,0.795825,12,41,21,0.143969,0,95293.559,114138.0611
"360010022001",1323,862,33.1,0.33,0.18,957,0.14,4.73,1.15,13284,0.14,8862,6594,2053,210,9.9,88,26.63,9.3,26.04,1380,802,0.03,0.27,0.73,412385,395114,0.88103,280,465,195,627,163,251,213,158,5,15,1,58,64,1,14,0,0.691489,61,61,36,0.186541,0,98939.289,110035.9804
